,0,1
384,35,32
385,10,56
386,47,25
387,82,50
388,72,47
389,57,48
390,71,45
391,1,34
392,11,59
393,7,39
394,58,48
395,60,27
396,6,34
397,3,32
398,62,42
399,5,37
400,43,38
401,15,43
402,46,43
403,32,26
404,19,42
405,50,36
406,67,31
407,9,38
408,53,33
409,62,40
410,32,27
411,25,25
412,65,36
413,36,36
414,57,45
415,39,43
416,41,54
417,70,47
418,82,42
419,37,33
420,7,38
421,43,41
422,19,35
423,83,42
424,47,22
425,44,38
426,21,33
427,58,44
428,14,53
429,71,21
430,78,35
431,81,42
432,60,43
433,73,56
434,2,33
435,52,30
436,1,34
437,40,42
438,50,37
439,27,31
440,18,42
441,77,35
442,34,28
443,61,49
444,28,27
445,80,43
446,46,45
447,59,49
448,3,37
449,55,46
450,49,43
451,16,40
452,48,40
453,29,33
454,54,39
455,22,45
456,76,35
457,79,40
458,12,42
459,35,27
460,6,37
461,20,31
462,66,28
463,13,51
464,26,28
465,56,40
466,31,91
467,17,27
468,10,57
469,38,42
470,5,36
471,63,33
472,23,39
473,64,35
474,72,45
475,11,58
476,15,47
477,42,46
478,30,28
479,68,48
480,75,43
481,74,39
482,67,31
483,4,34
484,33,23
485,69,40
486,8,25
487,51,25
488,24,35
489,45,36
490,30,30
491,35,34
492,34,58
493,36,47
494,39,52
495,41,65
496,37,48
497,38,38
498,42,66
499,40,61
500,43,46
501,44,42
502,54,37
503,57,44
504,60,54
505,56,49
506,55,41
507,58,42
508,59,48
509,61,46
510,62,46
511,1,36
512,2,38
513,6,39
514,5,38
515,8,44
516,7,37
517,4,34
518,9,50
519,3,37
520,10,73
521,11,73
522,45,44
523,47,38
524,50,45
525,52,76
526,53,47
527,46,43
528,48,48
529,49,57
530,52,69
531,53,55
532,51,37
533,73,49
534,74,38
535,75,44
536,76,39
537,77,32
538,78,31
539,79,42
540,80,33
541,81,43
542,82,45
543,83,59
544,12,34
545,14,50
546,16,42
547,17,23
548,15,51
549,13,42
550,18,59
551,20,48
552,19,49
553,21,38
554,22,45
555,24,40
556,25,33
557,27,38
558,23,56
559,26,33
560,29,37
561,32,30
562,33,31
563,28,43
564,31,43
565,32,39
566,34,41
567,36,48
568,38,43
569,41,66
570,35,43
571,37,49
572,39,61
573,42,65
574,40,63
575,43,42
576,55,43
577,57,50
578,60,30
579,55,42
580,56,53
581,58,53
582,59,48
583,61,47
584,63,41
585,62,46
586,1,27
587,3,38
588,6,41
589,7,43
590,8,47
591,5,39
592,4,40
593,2,46
594,9,54
595,10,81
596,11,85
597,73,53
598,74,42
599,75,40
600,76,32
601,77,30
602,78,31
603,79,37
604,80,38
605,81,36
606,82,37
607,83,38
608,45,44
609,46,47
610,49,56
611,43,58
612,44,43
613,50,52
614,47,44
615,48,46
616,51,44
617,53,51
618,52,60
619,69,55
620,67,45
621,71,59
622,69,62
623,70,58
624,68,51
625,66,48
626,64,56
627,65,57
628,72,54
629,12,41
630,16,48
631,17,25
632,13,49
633,14,59
634,15,60
635,18,59
636,20,52
637,19,52
638,21,44
639,24,37
640,27,35
641,25,39
642,23,51
643,22,49
644,26,33
645,28,42
646,31,40
647,33,42
648,30,43
649,32,46
650,29,45
651,36,39
652,39,55
653,41,65
654,43,40
655,42,53
656,38,48
657,40,46
658,37,41
659,44,39
660,45,37
661,58,42
662,61,32
663,63,39
664,59,47
665,56,46
666,57,42
667,60,50
668,62,45
669,7,42
670,6,33
671,3,31
672,5,34
673,8,40
